id,SFH,popUpWidnow,SSLfinal_State,Request_URL,URL_of_Anchor,web_traffic,URL_Length,age_of_domain,having_IP_Address,Result
1,1,-1,1,-1,-1,1,1,1,0,0
2,-1,-1,-1,-1,-1,0,1,1,1,1
3,1,-1,0,0,-1,0,-1,1,0,1
4,1,0,1,-1,-1,0,1,1,0,0
5,-1,-1,1,-1,0,0,-1,1,0,1
6,-1,-1,1,-1,-1,1,0,-1,0,1
7,1,-1,0,1,-1,0,0,1,0,-1
8,1,0,1,1,0,0,0,1,1,-1
9,-1,-1,0,-1,-1,-1,-1,1,0,0
10,-1,0,-1,-1,1,1,0,-1,0,1
11,-1,-1,0,-1,-1,1,-1,-1,0,1
12,1,0,1,1,1,-1,1,1,0,-1
13,1,-1,0,-1,1,0,1,1,0,1
14,1,0,1,0,-1,1,0,-1,0,-1
15,-1,-1,-1,1,-1,0,-1,1,0,1
16,0,0,-1,0,0,1,1,-1,1,1
17,-1,0,0,0,-1,1,-1,-1,0,1
18,1,1,1,-1,1,-1,1,1,0,-1
19,0,-1,-1,0,1,1,0,-1,0,1
20,1,-1,0,1,0,0,-1,1,0,1
21,0,-1,1,-1,-1,1,-1,1,0,1
22,1,0,-1,-1,1,1,-1,-1,0,-1
23,1,-1,0,-1,1,-1,0,1,0,-1
24,1,0,1,0,-1,0,0,1,0,-1
25,1,0,-1,0,-1,1,-1,-1,0,-1
26,-1,-1,0,-1,1,-1,0,1,0,-1
27,0,0,1,1,1,0,0,1,0,-1
28,1,0,-1,1,1,0,0,-1,0,-1
29,1,0,1,0,-1,-1,0,1,0,-1
30,-1,-1,0,0,1,1,-1,-1,0,1
31,1,1,0,-1,1,1,0,-1,0,-1
32,1,1,1,-1,-1,0,0,1,0,-1
33,1,0,1,-1,-1,-1,0,1,0,-1
34,1,0,-1,-1,-1,-1,1,1,0,-1
35,1,-1,1,-1,1,-1,-1,1,0,-1
36,1,1,-1,1,1,-1,1,1,0,-1
37,1,0,1,-1,1,-1,1,1,0,-1
38,0,0,1,0,0,1,-1,-1,0,1
39,-1,-1,-1,-1,-1,-1,0,1,0,1
40,1,0,0,-1,-1,0,0,-1,0,1
41,-1,0,0,-1,-1,1,0,-1,0,1
42,1,1,1,-1,1,-1,-1,1,0,-1
43,-1,0,1,0,-1,0,0,-1,0,-1
44,1,1,1,1,0,-1,0,1,0,-1
45,1,0,1,1,1,0,-1,1,1,-1
46,-1,-1,1,-1,-1,1,-1,-1,0,1
47,0,-1,-1,0,1,1,0,-1,0,1
48,-1,-1,1,0,-1,0,1,1,0,1
49,-1,-1,1,-1,-1,-1,1,1,0,0
50,1,1,-1,-1,1,-1,1,1,0,0
51,1,0,1,0,-1,-1,-1,1,0,-1
52,-1,-1,-1,-1,-1,1,1,-1,1,0
53,1,1,1,-1,1,-1,0,1,1,-1
54,-1,-1,1,-1,-1,0,-1,-1,0,1
55,1,-1,0,-1,-1,0,-1,1,0,1
56,1,0,1,1,1,-1,1,1,0,-1
57,1,-1,0,1,0,0,-1,1,0,1
58,1,-1,0,1,1,0,0,1,0,-1
59,1,1,1,-1,1,-1,1,1,1,-1
60,-1,-1,1,1,-1,1,0,-1,0,1
